message_content,arrival_time,processing_time,completion_time
Message from thread 42,1771099214.3860497 at 2026-02-14T20:24:06.412062,0.3179,2026-02-14T20:24:06.730359
Message from thread 25,1771099214.3860497 at 2026-02-14T20:24:06.731269,0.4194,2026-02-14T20:24:07.151164
Message from thread 8,1771099214.3860497 at 2026-02-14T20:24:07.152063,0.0389,2026-02-14T20:24:07.191132
Message from thread 37,1771099214.3850496 at 2026-02-14T20:24:07.191871,0.2074,2026-02-14T20:24:07.399542
Message from thread 40,1771099214.3855498 at 2026-02-14T20:24:07.400436,0.6175,2026-02-14T20:24:08.018651
Message from thread 10,1771099214.3855498 at 2026-02-14T20:24:08.019542,0.2739,2026-02-14T20:24:08.292343
Message from thread 46,1771099214.3855498 at 2026-02-14T20:24:08.293252,0.6129,2026-02-14T20:24:08.906914
Message from thread 18,1771099214.3850496 at 2026-02-14T20:24:08.907796,0.5916,2026-02-14T20:24:09.500093
Message from thread 14,1771099214.3865533 at 2026-02-14T20:24:09.500888,0.0409,2026-02-14T20:24:09.541970
Message from thread 6,1771099214.3855498 at 2026-02-14T20:24:09.543087,0.1591,2026-02-14T20:24:09.702548
Message from thread 32,1771099214.47851 at 2026-02-14T20:24:09.703671,0.0944,2026-02-14T20:24:09.798225
Message from thread 39,1771099214.4790096 at 2026-02-14T20:24:09.799114,2.3122,2026-02-14T20:24:12.111513
Message from thread 45,1771099214.47851 at 2026-02-14T20:24:12.112538,1.2031,2026-02-14T20:24:13.316959
Message from thread 49,1771099214.47851 at 2026-02-14T20:24:13.317826,0.4303,2026-02-14T20:24:13.748710
Message from thread 38,1771099214.5409207 at 2026-02-14T20:24:13.749717,0.4134,2026-02-14T20:24:14.163646
Message from thread 31,1771099214.5404189 at 2026-02-14T20:24:14.164654,0.2236,2026-02-14T20:24:14.388594
Message from thread 9,1771099214.5404189 at 2026-02-14T20:24:14.389452,0.3045,2026-02-14T20:24:14.694317
Message from thread 29,1771099214.5404189 at 2026-02-14T20:24:14.695279,0.2539,2026-02-14T20:24:14.949568
Message from thread 47,1771099214.5409207 at 2026-02-14T20:24:14.950460,0.1196,2026-02-14T20:24:15.070352
Message from thread 13,1771099214.5714998 at 2026-02-14T20:24:15.071370,0.2013,2026-02-14T20:24:15.272918
Message from thread 26,1771099214.5714998 at 2026-02-14T20:24:15.273688,0.0363,2026-02-14T20:24:15.310171
Message from thread 28,1771099214.5720012 at 2026-02-14T20:24:15.311046,0.3550,2026-02-14T20:24:15.666554
Message from thread 33,1771099214.5720012 at 2026-02-14T20:24:15.667505,1.3745,2026-02-14T20:24:17.043448
Message from thread 5,1771099214.5720012 at 2026-02-14T20:24:17.044402,1.5429,2026-02-14T20:24:18.588343
Message from thread 12,1771099214.6346173 at 2026-02-14T20:24:18.589023,1.4922,2026-02-14T20:24:20.082803
Message from thread 41,1771099214.634118 at 2026-02-14T20:24:20.083613,0.0866,2026-02-14T20:24:20.170363
Message from thread 27,1771099214.6346173 at 2026-02-14T20:24:20.171289,0.0050,2026-02-14T20:24:20.176383
Message from thread 36,1771099214.634118 at 2026-02-14T20:24:20.177349,0.0099,2026-02-14T20:24:20.187369
Message from thread 0,1771099216.1066666 at 2026-02-14T20:24:20.188107,0.2177,2026-02-14T20:24:20.406082
Message from thread 19,1771099216.1066666 at 2026-02-14T20:24:20.406881,0.8412,2026-02-14T20:24:21.249063
Message from thread 15,1771099216.1066666 at 2026-02-14T20:24:21.249929,0.3867,2026-02-14T20:24:21.637114
Message from thread 1,1771099216.137423 at 2026-02-14T20:24:21.638009,0.0273,2026-02-14T20:24:21.665522
Message from thread 21,1771099216.137423 at 2026-02-14T20:24:21.666435,0.7659,2026-02-14T20:24:22.433176
Message from thread 16,1771099216.1379256 at 2026-02-14T20:24:22.434097,0.4981,2026-02-14T20:24:22.932801
Message from thread 30,1771099216.2301676 at 2026-02-14T20:24:22.933676,0.0816,2026-02-14T20:24:23.015513
Message from thread 20,1771099216.307592 at 2026-02-14T20:24:23.016552,0.2095,2026-02-14T20:24:23.226387
Message from thread 3,1771099216.307592 at 2026-02-14T20:24:23.227562,0.0847,2026-02-14T20:24:23.312520
Message from thread 17,1771099216.307592 at 2026-02-14T20:24:23.313348,0.4147,2026-02-14T20:24:23.728547
Message from thread 2,1771099216.3236108 at 2026-02-14T20:24:23.729423,0.0442,2026-02-14T20:24:23.773843
Message from thread 4,1771099216.3231094 at 2026-02-14T20:24:23.774621,0.0760,2026-02-14T20:24:23.850825
Message from thread 22,1771099216.3236108 at 2026-02-14T20:24:23.851837,0.8473,2026-02-14T20:24:24.700059
Message from thread 23,1771099216.3231094 at 2026-02-14T20:24:24.700912,0.2772,2026-02-14T20:24:24.978544
Message from thread 44,1771099216.3231094 at 2026-02-14T20:24:24.979459,2.2203,2026-02-14T20:24:27.202146
Message from thread 24,1771099216.3696656 at 2026-02-14T20:24:27.203103,1.8699,2026-02-14T20:24:29.075003
Message from thread 43,1771099216.3696656 at 2026-02-14T20:24:29.076125,0.9364,2026-02-14T20:24:30.013607
Message from thread 48,1771099216.3696656 at 2026-02-14T20:24:30.014591,1.2478,2026-02-14T20:24:31.262582
Message from thread 14,1771099216.4017005 at 2026-02-14T20:24:31.263579,1.0328,2026-02-14T20:24:32.297525
Message from thread 18,1771099216.401199 at 2026-02-14T20:24:32.298409,0.4245,2026-02-14T20:24:32.723478
Message from thread 11,1771099216.4006994 at 2026-02-14T20:24:32.724305,0.0968,2026-02-14T20:24:32.821316
Message from thread 35,1771099216.401199 at 2026-02-14T20:24:32.822208,0.2043,2026-02-14T20:24:33.026870
Message from thread 10,1771099216.401199 at 2026-02-14T20:24:33.028038,0.8277,2026-02-14T20:24:33.856661
Message from thread 7,1771099216.401199 at 2026-02-14T20:24:33.857639,1.6885,2026-02-14T20:24:35.547910
Message from thread 46,1771099216.4006994 at 2026-02-14T20:24:35.548797,0.3990,2026-02-14T20:24:35.948332
Message from thread 34,1771099216.4021997 at 2026-02-14T20:24:35.949191,0.2930,2026-02-14T20:24:36.242620
Message from thread 40,1771099216.4017005 at 2026-02-14T20:24:36.243465,1.3348,2026-02-14T20:24:37.578571
Message from thread 6,1771099216.4021997 at 2026-02-14T20:24:37.579399,1.2544,2026-02-14T20:24:38.833331
Message from thread 25,1771099216.4017005 at 2026-02-14T20:24:38.834133,0.3253,2026-02-14T20:24:39.159861
Message from thread 8,1771099216.4021997 at 2026-02-14T20:24:39.160794,0.0739,2026-02-14T20:24:39.234904
Message from thread 42,1771099216.401199 at 2026-02-14T20:24:39.235768,0.4774,2026-02-14T20:24:39.713742
Message from thread 37,1771099216.4006994 at 2026-02-14T20:24:39.724120,0.6779,2026-02-14T20:24:40.402861
Msg de hilo 19 - Time: 1771100573.7270987,2026-02-14T20:24:40.403814,0.4527,2026-02-14T20:24:40.857107
Msg de hilo 12 - Time: 1771100573.7270987,2026-02-14T20:24:40.858005,0.4434,2026-02-14T20:24:41.301930
Msg de hilo 28 - Time: 1771100573.7744446,2026-02-14T20:24:41.302779,0.5914,2026-02-14T20:24:41.894897
Msg de hilo 6 - Time: 1771100573.805022,2026-02-14T20:24:41.895733,1.1830,2026-02-14T20:24:43.080047
Msg de hilo 4 - Time: 1771100573.7744446,2026-02-14T20:24:43.081123,1.2220,2026-02-14T20:24:44.304461
Msg de hilo 22 - Time: 1771100573.805022,2026-02-14T20:24:44.305429,0.2692,2026-02-14T20:24:44.574996
Msg de hilo 33 - Time: 1771100573.8830214,2026-02-14T20:24:44.575760,1.3501,2026-02-14T20:24:45.927306
Msg de hilo 25 - Time: 1771100573.8982599,2026-02-14T20:24:45.928385,0.4506,2026-02-14T20:24:46.379582
