inter_arrival_time,processing_time
0.015664,0.4481
0.170857,1.393
0.061687,0.3264
0.015506,0.2158
0.030962,0.1171
0.046433,0.2359
0.153948,0.2564
0.234289,1.34
0.0,0.6465
0.108034,0.9573
0.061242,0.0248
0.07722,0.469
0.0,1.8047
0.0,0.4347
0.015198,0.1312
0.0,0.387
0.030798,0.6202
0.030582,0.1587
0.108242,0.7354
0.154092,0.7071
0.030913,0.1002
0.077771,0.1531
0.031238,1.2781
0.0,0.0136
0.045978,0.5895
0.046377,0.5674
0.016113,0.0748
0.077272,0.8842
0.015512,0.21
0.076906,2.3441
0.077531,0.7534
0.13949,0.0048
0.015525,0.4159
0.031041,0.3608
0.154926,0.1841
0.062019,0.0794
0.015441,0.0547
0.061974,0.4692
0.046041,0.3666
0.046839,0.9955
0.015512,0.0198
0.031045,0.2211
0.248498,0.2777
0.184964,0.4079
0.122912,0.3586
0.046596,1.3693
0.093951,0.263
0.015547,0.3793
0.0,0.5515
0.031053,0.074
0.031561,0.0138
0.031553,0.083
0.046878,0.4407
0.030463,0.1756
0.094037,0.0304
0.203238,0.0957
0.233881,0.9069
0.031488,0.071
0.0,0.4754
0.0,0.0747
0.046806,0.165
0.078202,0.433
0.030685,0.0074
0.046548,0.2529
0.030994,0.1452
0.092987,0.0048
0.0,0.0097
0.015522,0.1704
0.0,0.0191
0.045935,0.5378
0.030553,0.1467
0.107963,0.9142
0.015568,1.5537
0.107862,0.3348
0.092611,0.0106
0.015546,0.011
0.015661,0.0716
0.0,0.0192
0.031013,1.1213
0.06136,0.012
0.248451,0.8226
0.0,0.462
0.123363,0.1779
0.015528,0.4552
0.045764,0.1456
0.122634,0.1053
0.030631,0.0391
0.046044,0.4068
0.0,0.3086
0.185431,0.0089
0.031106,0.8962
0.108724,0.1445
0.0,1.177
0.093844,0.9438
0.077259,0.2473
0.015356,0.1788
0.122597,0.5793
0.061907,0.9478
0.139254,0.6378
0.015539,0.111
0.093289,0.4817
0.110721,0.0088
0.0,0.3268
0.015347,0.004
0.031376,0.6192
0.047314,0.2792
0.124938,0.5239
0.093421,0.1176
0.047102,0.3587
0.13981,1.2609
0.03123,1.6887
0.046575,0.0468
0.0,0.1772
0.015402,0.4897
0.015353,0.0675
0.123056,0.2656
0.106783,0.0261
0.154557,0.8887
0.015223,0.2279
0.109324,0.054
0.0,0.9941
0.0,0.2795
0.000501,0.1416
0.015483,0.5695
0.030862,0.0312
0.0,0.3106
0.10856,1.3973
0.093803,0.8547
0.092856,0.5005
0.169341,0.0345
0.124467,0.1647
0.0,0.3425
0.061693,0.1626
0.123345,0.0907
0.046483,0.1517
0.093579,1.222
0.0,0.4128
0.015581,0.449
0.109617,0.93
0.015594,0.2076
0.125131,0.8083
0.016001,0.088
0.062672,1.3452
0.015327,0.1256
0.061618,0.8837
0.217474,0.5969
0.031393,0.4914
0.0,0.7324
0.062529,0.1907
0.123967,0.0761
0.061526,0.0579
0.124246,0.3322
0.092009,0.4799
0.061104,0.1201
0.015225,1.289
0.0,0.3298
0.031051,0.0846
0.061342,0.1268
0.0,0.6818
0.000507,0.078
0.014828,0.098
0.077056,0.7968
0.046345,1.2255
0.031064,0.0883
0.0,0.5943
0.047588,0.6766
0.311513,0.7378
0.046575,0.1528
0.046435,0.0494
0.108377,0.0229
0.0,0.3993
0.077438,0.1889
0.077765,0.4732
0.015468,0.1626
0.046709,0.0675
0.0,0.0197
0.046589,0.1249
0.09379,0.0085
0.016038,0.5664
0.031331,1.945
0.0,0.6791
0.046384,0.1323
0.0,0.6766
0.047531,0.5097
0.015186,0.7054
0.061621,0.0169
0.123071,1.0398
0.046244,0.6825
0.123338,0.1048
0.0,0.4336
0.108177,0.2361
0.093164,0.0882
0.062278,1.1356
0.046883,0.4326
0.046579,0.4499
0.031503,0.1744
0.169979,1.4907
